1,1584
2,252
3,1098
4,1260
5,504
6,1476
7,1440
8,1280
9,2000
10,198
11,1860
12,1540
13,1746
14,700
15,1920
16,1820
17,900
18,252
19,2000
20,648
21,1720
22,1320
23,1880
24,324
25,1160
