# Archivo que contiene las ventanas para cada segmento del sistema.
# Formato de los Datos:
# id	SegmA	SegmB	Tiempo_de_inicio(seg)	Duracion_ventana(seg)

193	LEO11	LEO17	1274	86
194	LEO12	LEO18	1274	86
195	LEO14	LEO16	1274	86
196	LEO1	LEO20	1274	246
197	LEO2	LEO6	1360	66
198	LEO3	LEO12	1360	66
199	LEO4	LEO13	1360	66
200	LEO5	LEO15	1360	66
201	LEO7	LEO9	1360	66
202	LEO8	LEO16	1360	66
203	LEO10	LEO11	1360	66
204	LEO14	LEO17	1360	66
205	LEO18	LEO19	1360	66
206	LEO2	LEO19	1426	94
207	LEO3	LEO5	1426	94
208	LEO4	LEO14	1426	94
209	LEO6	LEO15	1426	94
210	LEO7	LEO11	1426	94
211	LEO8	LEO18	1426	94
212	LEO9	LEO12	1426	94
213	LEO10	LEO13	1426	94
214	LEO16	LEO17	1426	94
215	LEO1	LEO8	1520	18
216	LEO2	LEO7	1520	18
217	LEO3	LEO9	1520	18
218	LEO4	LEO16	1520	18
219	LEO5	LEO10	1520	18
220	LEO6	LEO18	1520	18
221	LEO11	LEO20	1520	18
222	LEO14	LEO19	1520	18
223	LEO15	LEO17	1520	18
224	LEO1	LEO9	1538	58
225	LEO2	LEO10	1538	58
226	LEO3	LEO16	1538	58
227	LEO4	LEO13	1538	58
228	LEO5	LEO7	1538	58
229	LEO6	LEO17	1538	58
230	LEO8	LEO20	1538	58
231	LEO11	LEO19	1538	58
232	LEO12	LEO18	1538	58
233	LEO14	LEO15	1538	58
