0,5-8,1,88,88
0,5-8,2,88,88
0,5-8,3,149,149
0,5-8,4,149,149
0,5-8,5,149,149
0,5-8,6,149,231
0,5-8,7,149,231
0,5-8,8,149,231
0,5-8,9,149,331
0,5-8,10,149,342
0,5-8,11,149,342
0,5-8,12,149,342
0,5-8,13,149,342
0,5-8,14,149,377
0,5-8,15,149,377
0,5-8,16,240,468
0,5-8,17,240,513
0,5-8,18,240,513
0,5-8,19,240,613
0,5-8,20,240,613
0,5-8,21,240,613
0,5-8,22,240,679
0,5-8,23,240,773
0,5-8,24,240,791
0,5-8,25,240,849

1,7-8,1,88,88
1,7-8,2,88,88
1,7-8,3,88,88
1,7-8,4,88,88
1,7-8,5,88,88
1,7-8,6,88,88
1,7-8,7,88,88
1,7-8,8,88,88
1,7-8,9,88,88
1,7-8,10,88,99
1,7-8,11,181,192
1,7-8,12,181,192
1,7-8,13,181,289
1,7-8,14,181,289
1,7-8,15,181,385
1,7-8,16,181,476
1,7-8,17,181,521
1,7-8,18,181,521
1,7-8,19,181,521
1,7-8,20,181,557
1,7-8,21,181,643
1,7-8,22,181,643
1,7-8,23,181,737
1,7-8,24,181,737
1,7-8,25,181,737

2,2-15,1,88,176
2,2-15,2,88,176
2,2-15,3,88,176
2,2-15,4,88,176
2,2-15,5,88,176
2,2-15,6,88,176
2,2-15,7,88,248
2,2-15,8,88,248
2,2-15,9,88,248
2,2-15,10,88,248
2,2-15,11,88,248
2,2-15,12,88,325
2,2-15,13,88,422
2,2-15,14,88,422
2,2-15,15,88,422
2,2-15,16,88,513
2,2-15,17,88,558
2,2-15,18,88,558
2,2-15,19,88,658
2,2-15,20,88,658
2,2-15,21,88,658
2,2-15,22,88,658
2,2-15,23,88,658
2,2-15,24,88,658
2,2-15,25,146,716

3,5-19,1,88,88
3,5-19,2,88,88
3,5-19,3,88,149
3,5-19,4,88,149
3,5-19,5,88,149
3,5-19,6,88,149
3,5-19,7,88,149
3,5-19,8,88,149
3,5-19,9,188,249
3,5-19,10,188,249
3,5-19,11,188,249
3,5-19,12,188,249
3,5-19,13,188,249
3,5-19,14,188,284
3,5-19,15,188,380
3,5-19,16,188,380
3,5-19,17,188,380
3,5-19,18,188,380
3,5-19,19,188,480
3,5-19,20,188,480
3,5-19,21,188,480
3,5-19,22,188,546
3,5-19,23,188,640
3,5-19,24,188,640
3,5-19,25,188,698

4,2-6,1,88,88
4,2-6,2,88,88
4,2-6,3,88,88
4,2-6,4,88,88
4,2-6,5,88,88
4,2-6,6,88,170
4,2-6,7,88,170
4,2-6,8,152,234
4,2-6,9,152,334
4,2-6,10,152,334
4,2-6,11,152,334
4,2-6,12,152,334
4,2-6,13,152,431
4,2-6,14,152,431
4,2-6,15,152,431
4,2-6,16,152,431
4,2-6,17,152,431
4,2-6,18,152,431
4,2-6,19,152,531
4,2-6,20,188,567
4,2-6,21,188,567
4,2-6,22,188,633
4,2-6,23,188,633
4,2-6,24,188,633
4,2-6,25,188,691

5,3-16,1,88,88
5,3-16,2,88,88
5,3-16,3,88,88
5,3-16,4,88,88
5,3-16,5,88,88
5,3-16,6,88,170
5,3-16,7,88,170
5,3-16,8,88,234
5,3-16,9,88,234
5,3-16,10,88,234
5,3-16,11,88,327
5,3-16,12,165,404
5,3-16,13,165,404
5,3-16,14,165,404
5,3-16,15,165,500
5,3-16,16,165,500
5,3-16,17,165,500
5,3-16,18,165,500
5,3-16,19,165,500
5,3-16,20,165,500
5,3-16,21,165,586
5,3-16,22,165,652
5,3-16,23,165,652
5,3-16,24,165,670
5,3-16,25,165,670

6,7-14,1,176,176
6,7-14,2,176,176
6,7-14,3,176,176
6,7-14,4,176,176
6,7-14,5,176,176
6,7-14,6,176,176
6,7-14,7,176,248
6,7-14,8,176,312
6,7-14,9,176,312
6,7-14,10,176,312
6,7-14,11,176,312
6,7-14,12,176,312
6,7-14,13,176,312
6,7-14,14,176,347
6,7-14,15,272,443
6,7-14,16,272,443
6,7-14,17,272,488
6,7-14,18,272,488
6,7-14,19,272,488
6,7-14,20,272,488
6,7-14,21,272,488
6,7-14,22,272,554
6,7-14,23,272,648
6,7-14,24,272,648
6,7-14,25,272,648

7,15-16,1,88,88
7,15-16,2,88,88
7,15-16,3,88,88
7,15-16,4,88,88
7,15-16,5,88,88
7,15-16,6,88,88
7,15-16,7,88,160
